epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8277,0.65874,3.32062,0.00911,0.96846,0.88095,0.96011,0.85514,0.51932,1.42366,0.00987,0.00048,0.00048,0.00048
2,21.3124,0.68999,0.81348,0.00968,0.76345,0.73214,0.79364,0.63648,0.74113,1.4346,0.01327,0.000960596,0.000960596,0.000960596
3,27.7511,0.70287,0.43097,0.01005,0.95781,0.95833,0.98954,0.86038,0.62839,0.36141,0.01106,0.00142139,0.00142139,0.00142139
4,34.2625,0.68895,0.38226,0.00959,0.703,0.86905,0.86253,0.68729,0.8809,0.70717,0.02123,0.00186239,0.00186239,0.00186239
5,40.6374,0.78147,0.40198,0.01173,0.96876,0.95833,0.98986,0.81886,0.71139,0.37327,0.01329,0.0018416,0.0018416,0.0018416
6,47.0646,0.70084,0.35787,0.00959,0.97028,0.9718,0.99225,0.78901,0.80621,0.31403,0.01629,0.001802,0.001802,0.001802
7,53.5759,0.66474,0.34605,0.00944,0.98758,0.94625,0.98744,0.86309,0.59959,0.28767,0.01053,0.0017624,0.0017624,0.0017624
8,60.1947,0.63491,0.30534,0.00874,0.98223,0.98699,0.99428,0.89964,0.47734,0.19155,0.00743,0.0017228,0.0017228,0.0017228
9,66.8578,0.62235,0.29647,0.00806,0.98232,0.9923,0.99465,0.92204,0.43337,0.14347,0.00793,0.0016832,0.0016832,0.0016832
10,73.5439,0.60379,0.30195,0.00855,0.99034,0.9881,0.99315,0.92462,0.40298,0.14982,0.00707,0.0016436,0.0016436,0.0016436
11,80.3119,0.57581,0.2795,0.00818,0.97673,0.99955,0.99459,0.95097,0.32985,0.1237,0.00571,0.001604,0.001604,0.001604
12,86.7736,0.54644,0.25772,0.00736,0.99282,0.99405,0.99494,0.93745,0.37646,0.13566,0.0068,0.0015644,0.0015644,0.0015644
13,93.1246,0.53708,0.27573,0.00728,0.97495,0.97619,0.99353,0.93533,0.4001,0.21084,0.00745,0.0015248,0.0015248,0.0015248
14,99.5327,0.50969,0.25227,0.00666,0.99867,0.98214,0.99438,0.92872,0.38831,0.17372,0.00727,0.0014852,0.0014852,0.0014852
15,105.976,0.54881,0.26091,0.00756,1,0.98117,0.9946,0.94808,0.35496,0.13075,0.0059,0.0014456,0.0014456,0.0014456
16,112.374,0.51396,0.21695,0.00735,0.99405,0.99369,0.99494,0.93434,0.37078,0.14864,0.00711,0.001406,0.001406,0.001406
17,118.81,0.50481,0.24133,0.00683,0.98009,1,0.99476,0.97385,0.29823,0.11932,0.00536,0.0013664,0.0013664,0.0013664
18,125.26,0.4834,0.22508,0.0068,0.98232,0.99223,0.99459,0.92273,0.42477,0.17336,0.01016,0.0013268,0.0013268,0.0013268
19,131.601,0.48013,0.2333,0.00639,0.98991,0.99405,0.99488,0.93665,0.38981,0.13572,0.00743,0.0012872,0.0012872,0.0012872
20,137.993,0.47262,0.20864,0.00631,0.99333,0.9881,0.99482,0.97854,0.25467,0.09917,0.00417,0.0012476,0.0012476,0.0012476
21,144.343,0.42924,0.20291,0.00573,0.99408,0.99929,0.99476,0.9776,0.27763,0.09929,0.00469,0.001208,0.001208,0.001208
22,150.687,0.4483,0.2105,0.00585,0.99361,1,0.995,0.95612,0.35072,0.11269,0.0068,0.0011684,0.0011684,0.0011684
23,157.04,0.42026,0.19329,0.00538,0.98129,0.99405,0.99458,0.96387,0.30211,0.1151,0.00586,0.0011288,0.0011288,0.0011288
24,163.418,0.41819,0.20813,0.00555,0.99994,1,0.995,0.95863,0.30994,0.09821,0.00612,0.0010892,0.0010892,0.0010892
25,169.781,0.40381,0.19678,0.00562,0.99397,0.98195,0.99465,0.96349,0.33422,0.13102,0.00608,0.0010496,0.0010496,0.0010496
26,176.117,0.36962,0.17574,0.00495,0.99911,0.9881,0.99488,0.97144,0.28578,0.12113,0.00484,0.00101,0.00101,0.00101
27,182.632,0.3784,0.1843,0.00493,0.99284,0.99405,0.9947,0.9873,0.1999,0.11241,0.00312,0.0009704,0.0009704,0.0009704
28,189.128,0.353,0.17012,0.00459,0.99956,1,0.995,0.9856,0.25612,0.08473,0.00415,0.0009308,0.0009308,0.0009308
29,195.532,0.36014,0.17525,0.00468,0.99951,1,0.995,0.98997,0.21001,0.06928,0.00325,0.0008912,0.0008912,0.0008912
30,201.918,0.37192,0.18314,0.00472,0.99911,1,0.995,0.98263,0.24632,0.0913,0.00418,0.0008516,0.0008516,0.0008516
31,208.274,0.34339,0.1641,0.00416,0.99388,1,0.995,0.99082,0.17168,0.07075,0.00257,0.000812,0.000812,0.000812
32,214.774,0.30136,0.1447,0.00382,0.99971,1,0.995,0.99344,0.16142,0.05894,0.0025,0.0007724,0.0007724,0.0007724
33,221.282,0.32719,0.16403,0.00406,1,0.99398,0.995,0.99323,0.18122,0.07239,0.00279,0.0007328,0.0007328,0.0007328
34,227.696,0.28858,0.1551,0.00368,1,0.9988,0.995,0.9905,0.21348,0.07833,0.0032,0.0006932,0.0006932,0.0006932
35,234.081,0.30537,0.15629,0.0037,1,0.99822,0.995,0.99141,0.16482,0.06667,0.00265,0.0006536,0.0006536,0.0006536
36,240.513,0.30405,0.15185,0.00403,0.99196,1,0.99494,0.98795,0.17411,0.06648,0.00338,0.000614,0.000614,0.000614
37,246.945,0.29066,0.15205,0.00361,0.99367,1,0.99494,0.99164,0.15583,0.06145,0.00235,0.0005744,0.0005744,0.0005744
38,253.329,0.28491,0.14458,0.00361,0.99962,1,0.995,0.98856,0.192,0.0627,0.00274,0.0005348,0.0005348,0.0005348
39,259.756,0.27655,0.1347,0.00344,0.99946,1,0.995,0.99261,0.1462,0.05526,0.00245,0.0004952,0.0004952,0.0004952
40,266.121,0.26904,0.12821,0.00336,0.99954,1,0.995,0.99288,0.16185,0.07302,0.00256,0.0004556,0.0004556,0.0004556
41,273.697,0.22981,0.08521,0.00357,1,0.992,0.995,0.99012,0.18962,0.07006,0.00294,0.000416,0.000416,0.000416
42,280.146,0.21546,0.09057,0.0031,0.99944,1,0.995,0.99171,0.16931,0.05829,0.00271,0.0003764,0.0003764,0.0003764
43,286.502,0.19416,0.07788,0.00291,1,0.99948,0.995,0.99366,0.1487,0.05672,0.00233,0.0003368,0.0003368,0.0003368
44,292.954,0.18756,0.08363,0.00284,1,0.99993,0.995,0.9922,0.16775,0.05685,0.00274,0.0002972,0.0002972,0.0002972
