epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.5005,0.44858,7.72887,0.00622,0.97538,0.9643,0.99304,0.9825,0.24073,0.20719,0.00428,0.000220555,0.000220555,0.000220555
2,73.1336,0.45192,0.84301,0.00639,0.98504,0.99226,0.99461,0.9856,0.20617,0.10985,0.00367,0.000434119,0.000434119,0.000434119
3,104.478,0.46166,0.44016,0.00643,0.98997,0.98296,0.99469,0.96556,0.30726,0.12695,0.00559,0.000638879,0.000638879,0.000638879
4,135.699,0.47536,0.33437,0.00657,0.99439,0.98451,0.99468,0.96285,0.31993,0.13255,0.0069,0.00062738,0.00062738,0.00062738
5,166.801,0.44285,0.27404,0.006,0.99606,0.99004,0.99492,0.98251,0.22687,0.09219,0.00395,0.000614174,0.000614174,0.000614174
6,198.01,0.43335,0.26686,0.00595,0.99391,0.98783,0.99484,0.98306,0.22245,0.09445,0.00395,0.000600967,0.000600967,0.000600967
7,229.138,0.39284,0.22305,0.00532,0.99666,0.98956,0.99497,0.96993,0.23289,0.09086,0.00351,0.00058776,0.00058776,0.00058776
8,259.904,0.38468,0.2063,0.00515,0.99183,0.99336,0.99488,0.98785,0.19946,0.08555,0.00326,0.000574554,0.000574554,0.000574554
9,290.4,0.38661,0.20875,0.00516,0.99113,0.9885,0.99467,0.99062,0.18662,0.08936,0.00301,0.000561347,0.000561347,0.000561347
10,320.835,0.36793,0.19117,0.00491,0.99504,0.99336,0.99496,0.98275,0.2283,0.08408,0.00437,0.000548141,0.000548141,0.000548141
11,351.194,0.35655,0.17304,0.00474,0.99447,0.9947,0.99496,0.9899,0.15874,0.06698,0.00232,0.000534934,0.000534934,0.000534934
12,381.875,0.35414,0.17693,0.00451,0.99547,0.99336,0.99496,0.99108,0.19405,0.07622,0.00298,0.000521727,0.000521727,0.000521727
13,412.273,0.33367,0.17151,0.00435,0.98826,0.99447,0.99489,0.98979,0.21723,0.08743,0.00366,0.000508521,0.000508521,0.000508521
14,442.856,0.33451,0.16788,0.00436,0.99779,0.99753,0.995,0.98829,0.202,0.07293,0.00323,0.000495314,0.000495314,0.000495314
15,473.165,0.32136,0.15809,0.0042,0.99339,0.99729,0.99498,0.99049,0.1629,0.06468,0.00248,0.000482108,0.000482108,0.000482108
16,503.798,0.30894,0.15413,0.00388,0.99655,0.99226,0.99498,0.99247,0.14397,0.06227,0.00218,0.000468901,0.000468901,0.000468901
17,534.756,0.30964,0.15239,0.00394,0.99382,0.99336,0.99497,0.99207,0.15543,0.06317,0.00259,0.000455694,0.000455694,0.000455694
18,565.468,0.30559,0.14777,0.00387,0.9901,0.99594,0.99493,0.99273,0.14105,0.0667,0.00205,0.000442488,0.000442488,0.000442488
19,596.273,0.29416,0.14718,0.00384,0.99557,0.99489,0.99498,0.99093,0.15983,0.068,0.00237,0.000429281,0.000429281,0.000429281
20,627.016,0.28168,0.14093,0.00353,0.99101,0.99779,0.99492,0.98896,0.15608,0.06937,0.00239,0.000416075,0.000416075,0.000416075
21,657.852,0.29255,0.14248,0.00379,0.98938,0.99558,0.99492,0.99214,0.14705,0.06418,0.00214,0.000402868,0.000402868,0.000402868
22,688.392,0.2862,0.13813,0.00359,0.99778,0.99539,0.99498,0.99092,0.15667,0.06338,0.00247,0.000389661,0.000389661,0.000389661
23,718.747,0.26791,0.13522,0.00339,0.99338,0.99665,0.99498,0.99263,0.1449,0.06325,0.00217,0.000376455,0.000376455,0.000376455
24,749.113,0.2703,0.13046,0.00338,0.99449,0.99906,0.995,0.99335,0.13733,0.05629,0.0019,0.000363248,0.000363248,0.000363248
25,780.264,0.26768,0.12698,0.00337,0.9972,0.99668,0.99492,0.99349,0.1276,0.05404,0.00185,0.000350042,0.000350042,0.000350042
26,811.663,0.26092,0.11884,0.0032,0.99738,0.99889,0.99499,0.99186,0.13539,0.0548,0.00188,0.000336835,0.000336835,0.000336835
27,842.881,0.24791,0.11947,0.00311,0.99549,0.99779,0.99496,0.99358,0.12018,0.05238,0.00181,0.000323628,0.000323628,0.000323628
28,874.302,0.24076,0.11605,0.00295,0.99972,0.99889,0.995,0.99394,0.12604,0.04905,0.0019,0.000310422,0.000310422,0.000310422
29,905.697,0.2399,0.12125,0.00295,0.99971,0.99336,0.995,0.99313,0.14505,0.05786,0.00235,0.000297215,0.000297215,0.000297215
30,937.005,0.24259,0.11323,0.00309,0.99338,0.99618,0.99497,0.99419,0.12652,0.05492,0.0021,0.000284009,0.000284009,0.000284009
