epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.92139,0.58498,4.39002,0.87453,0.00413,0.95836,0.10634,0.09149,0.47427,3.54862,0.76734,0.00016008,0.00016008,0.00016008
2,10.0909,0.55384,3.2286,0.86633,0.00353,0.99605,0.15599,0.12999,0.46671,3.29651,0.77944,0.000323594,0.000323594,0.000323594
3,14.026,0.52668,2.94103,0.84602,0.94008,0.04959,0.2031,0.18524,0.42197,3.02781,0.78691,0.000483807,0.000483807,0.000483807
4,18.1211,0.50975,2.75918,0.84487,0.36371,0.1802,0.19718,0.1768,0.40184,2.49511,0.79838,0.000640718,0.000640718,0.000640718
5,22.7379,0.50219,2.60617,0.8487,0.1689,0.36511,0.23608,0.21463,0.39627,2.43265,0.80603,0.000640587,0.000640587,0.000640587
6,27.2528,0.4796,2.37918,0.83898,0.13226,0.59397,0.26731,0.2402,0.39767,4.76818,0.80822,0.000633983,0.000633983,0.000633983
7,31.7626,0.44313,2.31495,0.82556,0.17833,0.70181,0.3192,0.2944,0.38028,2.26047,0.79805,0.00062738,0.00062738,0.00062738
8,36.1549,0.44223,2.20284,0.83543,0.21769,0.7296,0.353,0.32986,0.37825,1.71306,0.79339,0.000620777,0.000620777,0.000620777
9,40.7683,0.45217,2.12967,0.83701,0.25876,0.71912,0.36376,0.34818,0.31848,1.93334,0.78393,0.000614174,0.000614174,0.000614174
10,45.425,0.43794,2.02403,0.83829,0.35469,0.64712,0.42238,0.39474,0.35046,1.66312,0.78876,0.00060757,0.00060757,0.00060757
11,49.9192,0.44151,1.95704,0.83623,0.30103,0.68578,0.43215,0.41366,0.30778,1.66361,0.78499,0.000600967,0.000600967,0.000600967
12,54.5079,0.42831,1.91024,0.82669,0.32246,0.74811,0.4277,0.4085,0.29807,1.54213,0.7812,0.000594364,0.000594364,0.000594364
13,58.5523,0.40593,1.82354,0.82916,0.32559,0.70186,0.46206,0.44532,0.34103,1.50009,0.79051,0.00058776,0.00058776,0.00058776
14,63.2426,0.39799,1.75421,0.82242,0.32223,0.75554,0.46718,0.45285,0.3056,1.47748,0.78191,0.000581157,0.000581157,0.000581157
15,67.8329,0.40497,1.67115,0.82559,0.2978,0.73039,0.4216,0.40523,0.30762,1.53932,0.78172,0.000574554,0.000574554,0.000574554
16,72.0907,0.40305,1.67488,0.83337,0.3664,0.78924,0.53057,0.51332,0.28537,1.24559,0.78233,0.00056795,0.00056795,0.00056795
17,76.2449,0.40349,1.62424,0.82473,0.45654,0.62943,0.55448,0.53377,0.31896,1.24668,0.78625,0.000561347,0.000561347,0.000561347
18,80.3485,0.39023,1.56059,0.8205,0.50717,0.74789,0.60876,0.58665,0.30767,1.18637,0.78266,0.000554744,0.000554744,0.000554744
19,84.6808,0.40248,1.53228,0.83349,0.53135,0.73113,0.67127,0.63889,0.32346,1.01195,0.78568,0.000548141,0.000548141,0.000548141
20,88.8585,0.39646,1.48059,0.82953,0.37796,0.68898,0.49714,0.47937,0.28371,1.37304,0.77839,0.000541537,0.000541537,0.000541537
21,93.2021,0.38014,1.47067,0.82396,0.52933,0.74118,0.68293,0.65894,0.29357,0.97602,0.7837,0.000534934,0.000534934,0.000534934
22,97.4437,0.39344,1.45423,0.81937,0.44734,0.69162,0.57499,0.55594,0.27174,1.23543,0.78431,0.000528331,0.000528331,0.000528331
23,101.675,0.38538,1.40038,0.82241,0.54126,0.77884,0.70417,0.68501,0.28265,0.96335,0.78013,0.000521727,0.000521727,0.000521727
24,105.846,0.36689,1.32016,0.82531,0.60033,0.71921,0.71585,0.6943,0.29003,0.92087,0.78299,0.000515124,0.000515124,0.000515124
25,110.178,0.36802,1.32374,0.8248,0.7088,0.72491,0.74968,0.7308,0.28964,0.88208,0.78402,0.000508521,0.000508521,0.000508521
26,114.675,0.3813,1.29203,0.82621,0.63921,0.64182,0.70934,0.68517,0.29796,0.97449,0.78405,0.000501917,0.000501917,0.000501917
27,119.123,0.36541,1.24796,0.82001,0.58588,0.78836,0.71049,0.693,0.28464,0.988,0.78089,0.000495314,0.000495314,0.000495314
28,123.882,0.38762,1.32781,0.8309,0.6162,0.76629,0.73168,0.70833,0.30151,0.94017,0.78197,0.000488711,0.000488711,0.000488711
29,128.865,0.35638,1.24093,0.82301,0.66051,0.77744,0.76217,0.74275,0.28827,0.84264,0.77899,0.000482108,0.000482108,0.000482108
30,133.712,0.35124,1.18876,0.8202,0.67157,0.76552,0.76231,0.73542,0.30306,0.80192,0.78326,0.000475504,0.000475504,0.000475504
31,138.486,0.36563,1.18744,0.82209,0.67946,0.72659,0.78255,0.76614,0.28695,0.81749,0.78354,0.000468901,0.000468901,0.000468901
32,143,0.36722,1.16293,0.82468,0.66948,0.70297,0.74015,0.72041,0.27317,0.898,0.78026,0.000462298,0.000462298,0.000462298
