epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.19038,0.59422,2.04728,0.86187,0.00333,1,0.24285,0.09854,0.41691,3.09923,0.77862,0.0006,0.0006,0.0006
2,11.4337,0.54599,0.95292,0.86137,1,0.63629,0.99399,0.90167,0.43785,2.21183,0.78521,0.00120792,0.00120792,0.00120792
3,16.4624,0.53918,0.78174,0.85973,0.98625,0.99354,0.99153,0.8969,0.47539,1.02159,0.79477,0.00180357,0.00180357,0.00180357
4,21.7295,0.55256,0.67163,0.86408,1,0.62438,0.65487,0.59397,0.6868,1.50563,1.02413,0.0019406,0.0019406,0.0019406
5,26.7617,0.50126,0.54376,0.85138,0.98563,0.95021,0.98358,0.88924,0.45633,0.49281,0.79468,0.0019208,0.0019208,0.0019208
6,31.865,0.47324,0.4661,0.8418,0.99907,1,0.995,0.90701,0.40035,1.0584,0.78027,0.001901,0.001901,0.001901
7,36.8758,0.46485,0.42414,0.84013,0.99881,1,0.995,0.94321,0.33077,1.3157,0.76747,0.0018812,0.0018812,0.0018812
8,41.9715,0.46777,0.39658,0.83878,0.99983,1,0.995,0.95256,0.31521,0.27709,0.76625,0.0018614,0.0018614,0.0018614
9,47.0222,0.4167,0.40042,0.80327,0.99966,1,0.995,0.93204,0.37248,0.31517,0.77721,0.0018416,0.0018416,0.0018416
10,52.0754,0.41796,0.36055,0.82749,0.99977,1,0.995,0.93947,0.34063,0.30337,0.7679,0.0018218,0.0018218,0.0018218
11,57.1331,0.40717,0.35159,0.8203,0.99982,1,0.995,0.953,0.31933,0.27729,0.76639,0.001802,0.001802,0.001802
12,62.0873,0.41145,0.33323,0.82851,0.99982,1,0.995,0.96123,0.30697,0.25474,0.76499,0.0017822,0.0017822,0.0017822
13,67.1656,0.41244,0.33078,0.83118,0.9998,1,0.995,0.9468,0.3552,0.26722,0.77148,0.0017624,0.0017624,0.0017624
14,72.1708,0.39622,0.31869,0.81972,0.99984,1,0.995,0.95226,0.29133,0.25204,0.76276,0.0017426,0.0017426,0.0017426
15,77.2157,0.40851,0.3123,0.82804,0.99966,1,0.995,0.95118,0.31352,0.27258,0.76759,0.0017228,0.0017228,0.0017228
16,82.2099,0.37655,0.30934,0.81461,0.99984,1,0.995,0.96651,0.28176,0.24492,0.76048,0.001703,0.001703,0.001703
17,87.2761,0.38381,0.3056,0.82058,0.99971,1,0.995,0.97491,0.26285,0.26154,0.76141,0.0016832,0.0016832,0.0016832
18,92.2711,0.38739,0.30371,0.82348,0.99962,1,0.995,0.968,0.26901,0.23143,0.75987,0.0016634,0.0016634,0.0016634
19,97.501,0.37406,0.28403,0.81427,0.99983,1,0.995,0.97247,0.27076,0.22381,0.75913,0.0016436,0.0016436,0.0016436
20,102.55,0.38717,0.2933,0.82456,0.99981,1,0.995,0.96776,0.28194,0.22647,0.76234,0.0016238,0.0016238,0.0016238
21,107.614,0.38348,0.2877,0.82171,0.99982,1,0.995,0.96927,0.31479,0.22988,0.76694,0.001604,0.001604,0.001604
22,112.601,0.37998,0.28803,0.82363,0.99981,1,0.995,0.95744,0.31972,0.24299,0.76379,0.0015842,0.0015842,0.0015842
23,117.717,0.35636,0.27619,0.81882,0.99977,1,0.995,0.96995,0.26299,0.22071,0.75926,0.0015644,0.0015644,0.0015644
24,122.694,0.35908,0.27026,0.81985,0.99982,1,0.995,0.98141,0.24845,0.20733,0.7567,0.0015446,0.0015446,0.0015446
25,127.729,0.36091,0.26739,0.80683,0.99982,1,0.995,0.97169,0.27359,0.20783,0.76051,0.0015248,0.0015248,0.0015248
26,132.691,0.37174,0.28637,0.83529,0.99983,1,0.995,0.97892,0.24806,0.19968,0.75892,0.001505,0.001505,0.001505
27,137.76,0.34905,0.26619,0.81794,0.99959,1,0.995,0.98076,0.23417,0.20086,0.75616,0.0014852,0.0014852,0.0014852
28,142.839,0.35865,0.2687,0.8118,0.99983,1,0.995,0.96767,0.28368,0.20927,0.76092,0.0014654,0.0014654,0.0014654
29,147.807,0.37897,0.35338,0.82127,0.99983,1,0.995,0.98071,0.26408,0.20883,0.75838,0.0014456,0.0014456,0.0014456
30,152.811,0.34552,0.26404,0.8116,0.99986,1,0.995,0.98,0.25179,0.20104,0.75818,0.0014258,0.0014258,0.0014258
31,157.855,0.34358,0.25667,0.81406,0.99983,1,0.995,0.9674,0.29226,0.20816,0.76331,0.001406,0.001406,0.001406
32,162.846,0.44879,0.28294,0.89174,0.99982,1,0.995,0.97109,0.28771,0.20472,0.76118,0.0013862,0.0013862,0.0013862
33,167.906,0.3331,0.25467,0.81382,0.99977,1,0.995,0.9746,0.23229,0.19292,0.75524,0.0013664,0.0013664,0.0013664
34,172.914,0.33456,0.25114,0.81178,0.99984,1,0.995,0.97286,0.26006,0.19598,0.75981,0.0013466,0.0013466,0.0013466
35,177.912,0.33577,0.25811,0.80978,0.99981,1,0.995,0.98176,0.23337,0.18542,0.7554,0.0013268,0.0013268,0.0013268
36,182.955,0.33101,0.25227,0.81467,0.99983,1,0.995,0.97207,0.26592,0.19587,0.7582,0.001307,0.001307,0.001307
37,188.065,0.33269,0.2475,0.80786,0.99984,1,0.995,0.965,0.262,0.20256,0.75831,0.0012872,0.0012872,0.0012872
38,193.147,0.33732,0.25582,0.81615,0.99984,1,0.995,0.9796,0.245,0.18562,0.75732,0.0012674,0.0012674,0.0012674
39,198.093,0.31916,0.23611,0.78933,0.99984,1,0.995,0.98383,0.24516,0.18185,0.75652,0.0012476,0.0012476,0.0012476
40,203.313,0.33219,0.2471,0.81181,0.99984,1,0.995,0.98058,0.26113,0.18802,0.75965,0.0012278,0.0012278,0.0012278
41,208.758,0.31215,0.23543,0.80301,0.99983,1,0.995,0.98559,0.236,0.17956,0.75532,0.001208,0.001208,0.001208
42,214.352,0.3269,0.24541,0.80954,0.99983,1,0.995,0.98675,0.22306,0.17533,0.75346,0.0011882,0.0011882,0.0011882
43,219.833,0.32178,0.24443,0.81447,0.99984,1,0.995,0.98144,0.21593,0.17497,0.75469,0.0011684,0.0011684,0.0011684
44,225.283,0.31651,0.23387,0.81125,0.99984,1,0.995,0.98762,0.21036,0.16862,0.75247,0.0011486,0.0011486,0.0011486
45,230.718,0.32656,0.24688,0.80887,0.99983,1,0.995,0.97996,0.26303,0.18535,0.76022,0.0011288,0.0011288,0.0011288
46,236.218,0.30178,0.22508,0.80108,0.99984,1,0.995,0.98457,0.23899,0.17281,0.75708,0.001109,0.001109,0.001109
47,241.741,0.32385,0.2368,0.8084,0.99984,1,0.995,0.98315,0.23034,0.17129,0.75464,0.0010892,0.0010892,0.0010892
48,247.328,0.30311,0.22569,0.8082,0.99983,1,0.995,0.98817,0.22016,0.16904,0.75438,0.0010694,0.0010694,0.0010694
49,252.717,0.30471,0.22343,0.80083,0.99984,1,0.995,0.99026,0.20579,0.1659,0.75156,0.0010496,0.0010496,0.0010496
50,258.317,0.31475,0.23335,0.80944,0.99984,1,0.995,0.97479,0.25349,0.17508,0.75766,0.0010298,0.0010298,0.0010298
51,263.817,0.30861,0.22283,0.80567,0.99982,1,0.995,0.97851,0.23405,0.16284,0.75539,0.00101,0.00101,0.00101
52,269.361,0.30992,0.22874,0.81285,0.99984,1,0.995,0.98661,0.20858,0.158,0.75365,0.0009902,0.0009902,0.0009902
53,274.842,0.29957,0.21973,0.80017,0.99979,1,0.995,0.98267,0.21804,0.16974,0.75385,0.0009704,0.0009704,0.0009704
54,280.514,0.30219,0.23026,0.81404,0.99982,1,0.995,0.98638,0.21182,0.15753,0.75248,0.0009506,0.0009506,0.0009506
55,286.135,0.30168,0.22117,0.8018,0.99984,1,0.995,0.9858,0.21477,0.16561,0.75381,0.0009308,0.0009308,0.0009308
56,291.578,0.28761,0.21551,0.78103,0.99984,1,0.995,0.99049,0.19752,0.1598,0.75089,0.000911,0.000911,0.000911
57,297.257,0.2961,0.2248,0.8061,0.99984,1,0.995,0.98616,0.20696,0.163,0.75217,0.0008912,0.0008912,0.0008912
58,302.775,0.28691,0.21338,0.78305,0.99984,1,0.995,0.9897,0.20398,0.16265,0.75176,0.0008714,0.0008714,0.0008714
59,308.388,0.30025,0.22184,0.80667,0.99985,1,0.995,0.98976,0.1953,0.15791,0.75006,0.0008516,0.0008516,0.0008516
60,313.834,0.28896,0.21825,0.80547,0.99982,1,0.995,0.98531,0.2016,0.15796,0.75117,0.0008318,0.0008318,0.0008318
61,319.397,0.28204,0.20727,0.80385,0.99984,1,0.995,0.98577,0.20628,0.15454,0.75252,0.000812,0.000812,0.000812
62,324.483,0.26828,0.19858,0.79756,0.99984,1,0.995,0.98888,0.21349,0.15329,0.75376,0.0007922,0.0007922,0.0007922
63,329.693,0.27006,0.1992,0.80198,0.99984,1,0.995,0.98763,0.20793,0.1537,0.75121,0.0007724,0.0007724,0.0007724
64,334.745,0.28478,0.22095,0.80038,0.99984,1,0.995,0.98647,0.20826,0.15304,0.75171,0.0007526,0.0007526,0.0007526
65,339.753,0.28228,0.21328,0.80842,0.99983,1,0.995,0.98225,0.2288,0.1546,0.75397,0.0007328,0.0007328,0.0007328
66,344.756,0.28583,0.20777,0.82166,0.99984,1,0.995,0.99096,0.192,0.13925,0.75078,0.000713,0.000713,0.000713
67,349.759,0.25095,0.19154,0.79017,0.99984,1,0.995,0.98435,0.20811,0.14454,0.75383,0.0006932,0.0006932,0.0006932
68,354.794,0.26428,0.19506,0.79563,0.99985,1,0.995,0.99102,0.19149,0.13985,0.75141,0.0006734,0.0006734,0.0006734
69,359.911,0.24921,0.18854,0.8003,0.99985,1,0.995,0.9918,0.18038,0.141,0.7489,0.0006536,0.0006536,0.0006536
70,364.811,0.26482,0.1956,0.80368,0.99984,1,0.995,0.98761,0.22424,0.15279,0.75377,0.0006338,0.0006338,0.0006338
71,369.77,0.2545,0.19493,0.80009,0.99984,1,0.995,0.99267,0.17835,0.13502,0.74903,0.000614,0.000614,0.000614
72,374.782,0.25483,0.19323,0.7914,0.99985,1,0.995,0.9927,0.16978,0.13761,0.74797,0.0005942,0.0005942,0.0005942
73,379.735,0.23505,0.17864,0.76438,0.99984,1,0.995,0.99265,0.16665,0.13435,0.74692,0.0005744,0.0005744,0.0005744
74,384.712,0.24756,0.18652,0.7979,0.9998,1,0.995,0.99033,0.19709,0.13805,0.7509,0.0005546,0.0005546,0.0005546
75,389.727,0.23595,0.17899,0.79533,0.99985,1,0.995,0.99385,0.1601,0.12683,0.74685,0.0005348,0.0005348,0.0005348
76,394.71,0.22559,0.17352,0.80055,0.99985,1,0.995,0.99326,0.16453,0.12904,0.74655,0.000515,0.000515,0.000515
77,399.662,0.24633,0.18646,0.80144,0.99984,1,0.995,0.9922,0.16292,0.12393,0.74682,0.0004952,0.0004952,0.0004952
78,404.699,0.25803,0.18327,0.79405,0.99985,1,0.995,0.99269,0.16572,0.12448,0.74681,0.0004754,0.0004754,0.0004754
79,409.699,0.25238,0.18534,0.79696,0.99984,1,0.995,0.99117,0.1683,0.1274,0.74732,0.0004556,0.0004556,0.0004556
80,414.815,0.23458,0.17639,0.78966,0.99985,1,0.995,0.99315,0.15759,0.12477,0.74592,0.0004358,0.0004358,0.0004358
81,419.798,0.23158,0.18139,0.79357,0.99985,1,0.995,0.99195,0.17132,0.12567,0.74798,0.000416,0.000416,0.000416
82,424.769,0.214,0.16544,0.79005,0.99985,1,0.995,0.99347,0.15674,0.12069,0.74556,0.0003962,0.0003962,0.0003962
83,429.69,0.22845,0.17158,0.78781,0.99985,1,0.995,0.99083,0.18067,0.12473,0.74827,0.0003764,0.0003764,0.0003764
84,434.796,0.22441,0.17108,0.79659,0.99985,1,0.995,0.9933,0.16594,0.11743,0.74689,0.0003566,0.0003566,0.0003566
85,439.78,0.2036,0.15673,0.76247,0.99985,1,0.995,0.99342,0.15408,0.11526,0.74599,0.0003368,0.0003368,0.0003368
86,444.907,0.21161,0.16277,0.79292,0.99985,1,0.995,0.99335,0.15703,0.11726,0.74605,0.000317,0.000317,0.000317
87,449.793,0.21644,0.1646,0.79446,0.99985,1,0.995,0.9935,0.1515,0.11615,0.74573,0.0002972,0.0002972,0.0002972
