epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.62048,0.82847,2.37775,0.93005,0.00333,1,0.04426,0.03606,0.47463,3.2176,0.78888,0.00048,0.00048,0.00048
2,11.9587,0.60922,1.01652,0.88286,0.00333,1,0.77272,0.68845,0.54285,2.88549,0.81043,0.000970298,0.000970298,0.000970298
3,16.0247,0.53728,0.80042,0.85157,1,0.89232,0.995,0.88014,0.52674,1.61213,0.7986,0.0014507,0.0014507,0.0014507
4,20.022,0.54422,0.71374,0.85006,0.99896,1,0.995,0.89437,0.50045,0.78337,0.79266,0.00192119,0.00192119,0.00192119
5,24.0942,0.51447,0.60295,0.8453,0.99953,1,0.995,0.88433,0.44917,0.57541,0.78379,0.0019208,0.0019208,0.0019208
6,28.1038,0.51265,0.52837,0.84191,0.99963,1,0.995,0.91987,0.40908,0.38343,0.77732,0.001901,0.001901,0.001901
7,32.1847,0.48973,0.48702,0.85143,0.99967,1,0.995,0.92307,0.42764,0.39222,0.78164,0.0018812,0.0018812,0.0018812
8,36.1751,0.46468,0.43403,0.84216,0.99972,1,0.995,0.93007,0.36695,0.36975,0.76753,0.0018614,0.0018614,0.0018614
9,40.0696,0.47319,0.40281,0.844,0.99962,1,0.995,0.92199,0.39797,0.31715,0.78036,0.0018416,0.0018416,0.0018416
10,44.0879,0.4626,0.38688,0.83796,0.99969,1,0.995,0.94145,0.31989,0.27321,0.76293,0.0018218,0.0018218,0.0018218
11,48.067,0.44118,0.36037,0.83435,0.99966,1,0.995,0.93215,0.39284,0.30647,0.77583,0.001802,0.001802,0.001802
12,51.9986,0.45613,0.36875,0.83441,0.9997,1,0.995,0.93406,0.33469,0.28247,0.76355,0.0017822,0.0017822,0.0017822
13,56.0163,0.43795,0.35301,0.82602,0.99971,1,0.995,0.94527,0.35027,0.30053,0.76768,0.0017624,0.0017624,0.0017624
14,59.9728,0.41325,0.329,0.82718,0.99965,1,0.995,0.93984,0.35399,0.27613,0.7662,0.0017426,0.0017426,0.0017426
15,63.8663,0.40866,0.32279,0.82032,0.99966,1,0.995,0.9405,0.33876,0.27311,0.76286,0.0017228,0.0017228,0.0017228
16,67.9239,0.39149,0.31072,0.81403,0.99969,1,0.995,0.93647,0.33461,0.26961,0.76351,0.001703,0.001703,0.001703
17,71.8989,0.39844,0.31185,0.81719,0.99973,1,0.995,0.95706,0.27975,0.23513,0.75528,0.0016832,0.0016832,0.0016832
18,75.9935,0.38888,0.30042,0.81862,0.99968,1,0.995,0.94312,0.30965,0.25093,0.76268,0.0016634,0.0016634,0.0016634
19,79.9557,0.39372,0.30352,0.81036,0.99963,1,0.995,0.95838,0.29559,0.24061,0.75622,0.0016436,0.0016436,0.0016436
20,84.0913,0.37501,0.28796,0.80475,0.99969,1,0.995,0.9647,0.28713,0.23025,0.75681,0.0016238,0.0016238,0.0016238
21,88.1085,0.37722,0.29086,0.82196,0.99956,1,0.995,0.9611,0.29518,0.24645,0.75795,0.001604,0.001604,0.001604
22,91.9899,0.38581,0.29682,0.81651,0.9997,1,0.995,0.96421,0.32252,0.24051,0.7625,0.0015842,0.0015842,0.0015842
23,95.9803,0.39087,0.28827,0.81727,0.99964,1,0.995,0.96978,0.26768,0.22842,0.75504,0.0015644,0.0015644,0.0015644
24,100.034,0.3718,0.2793,0.81431,0.99969,1,0.995,0.96257,0.29105,0.23388,0.75516,0.0015446,0.0015446,0.0015446
25,103.977,0.38511,0.28674,0.81955,0.99971,1,0.995,0.97385,0.27765,0.22285,0.75222,0.0015248,0.0015248,0.0015248
26,108.015,0.36764,0.27869,0.81786,0.9997,1,0.995,0.96827,0.27322,0.22107,0.75253,0.001505,0.001505,0.001505
27,111.903,0.35821,0.27335,0.81193,0.99971,1,0.995,0.97442,0.26533,0.20961,0.7504,0.0014852,0.0014852,0.0014852
28,115.901,0.35128,0.26461,0.80875,0.99971,1,0.995,0.95511,0.3093,0.22107,0.75978,0.0014654,0.0014654,0.0014654
29,119.811,0.35822,0.26939,0.81584,0.99967,1,0.995,0.96575,0.2792,0.21975,0.75322,0.0014456,0.0014456,0.0014456
30,123.772,0.35986,0.27237,0.8175,0.99971,1,0.995,0.97651,0.27604,0.20446,0.75407,0.0014258,0.0014258,0.0014258
31,127.902,0.35864,0.26233,0.80857,0.99972,1,0.995,0.959,0.30786,0.21398,0.75833,0.001406,0.001406,0.001406
32,131.853,0.3456,0.25135,0.80946,0.99971,1,0.995,0.98667,0.24016,0.20175,0.74726,0.0013862,0.0013862,0.0013862
33,135.801,0.35979,0.25556,0.80986,0.99973,1,0.995,0.96112,0.31578,0.21046,0.76089,0.0013664,0.0013664,0.0013664
34,139.745,0.35847,0.25699,0.81062,0.99973,1,0.995,0.97467,0.27962,0.2024,0.75112,0.0013466,0.0013466,0.0013466
35,143.672,0.34394,0.24997,0.81006,0.99971,1,0.995,0.98097,0.23788,0.19385,0.74696,0.0013268,0.0013268,0.0013268
36,147.76,0.34993,0.25273,0.80973,0.99968,1,0.995,0.95864,0.31895,0.21445,0.76426,0.001307,0.001307,0.001307
37,151.838,0.35103,0.2501,0.80524,0.99971,1,0.995,0.98401,0.23055,0.18479,0.74646,0.0012872,0.0012872,0.0012872
38,155.885,0.331,0.24182,0.80539,0.99971,1,0.995,0.97104,0.27558,0.19604,0.75161,0.0012674,0.0012674,0.0012674
39,159.948,0.32573,0.23689,0.80455,0.9997,1,0.995,0.98127,0.2393,0.19205,0.74678,0.0012476,0.0012476,0.0012476
40,163.854,0.32109,0.23579,0.80164,0.99971,1,0.995,0.979,0.25263,0.18475,0.74916,0.0012278,0.0012278,0.0012278
41,167.833,0.32203,0.23469,0.80517,0.9997,1,0.995,0.97109,0.26987,0.191,0.75469,0.001208,0.001208,0.001208
42,171.833,0.3275,0.24219,0.80155,0.9997,1,0.995,0.96896,0.26599,0.2043,0.75236,0.0011882,0.0011882,0.0011882
43,175.81,0.32448,0.24124,0.81005,0.99972,1,0.995,0.97928,0.26482,0.18929,0.75,0.0011684,0.0011684,0.0011684
44,179.787,0.31502,0.23421,0.80189,0.99972,1,0.995,0.97642,0.23486,0.18204,0.74519,0.0011486,0.0011486,0.0011486
45,183.748,0.32701,0.24048,0.8018,0.99968,1,0.995,0.97925,0.26246,0.19497,0.74857,0.0011288,0.0011288,0.0011288
46,187.797,0.31643,0.22685,0.80447,0.99971,1,0.995,0.97787,0.28618,0.18894,0.75173,0.001109,0.001109,0.001109
47,191.72,0.31885,0.22974,0.79657,0.99972,1,0.995,0.98512,0.22722,0.17619,0.74435,0.0010892,0.0010892,0.0010892
48,195.7,0.3285,0.23418,0.80551,0.99971,1,0.995,0.9745,0.27249,0.18559,0.75285,0.0010694,0.0010694,0.0010694
49,199.674,0.30302,0.21712,0.79771,0.99971,1,0.995,0.98329,0.23406,0.16969,0.74872,0.0010496,0.0010496,0.0010496
50,203.596,0.31391,0.22994,0.79976,0.99972,1,0.995,0.97774,0.2558,0.18194,0.74917,0.0010298,0.0010298,0.0010298
51,207.689,0.32642,0.22774,0.80347,0.99971,1,0.995,0.97965,0.27762,0.18466,0.75117,0.00101,0.00101,0.00101
52,211.673,0.31241,0.22258,0.79718,0.99971,1,0.995,0.98379,0.23965,0.16959,0.74566,0.0009902,0.0009902,0.0009902
53,215.548,0.30893,0.22203,0.80754,0.9997,1,0.995,0.98195,0.2367,0.16746,0.74552,0.0009704,0.0009704,0.0009704
54,219.525,0.30922,0.22306,0.79606,0.99972,1,0.995,0.98102,0.25405,0.17893,0.7497,0.0009506,0.0009506,0.0009506
55,223.419,0.3083,0.21779,0.79418,0.99972,1,0.995,0.98678,0.21127,0.16083,0.74314,0.0009308,0.0009308,0.0009308
56,227.329,0.2905,0.21237,0.79333,0.99972,1,0.995,0.97488,0.27513,0.18686,0.74946,0.000911,0.000911,0.000911
57,231.292,0.28932,0.20541,0.80064,0.99971,1,0.995,0.98349,0.22808,0.16636,0.74787,0.0008912,0.0008912,0.0008912
58,235.242,0.29848,0.21384,0.80257,0.9997,1,0.995,0.97896,0.2594,0.17897,0.75002,0.0008714,0.0008714,0.0008714
59,239.17,0.29368,0.21478,0.79905,0.99972,1,0.995,0.98531,0.22946,0.1623,0.74697,0.0008516,0.0008516,0.0008516
60,243.069,0.29378,0.20936,0.79182,0.99972,1,0.995,0.98406,0.23171,0.16062,0.74442,0.0008318,0.0008318,0.0008318
61,247.023,0.29916,0.21026,0.80066,0.99972,1,0.995,0.98305,0.22619,0.16245,0.74657,0.000812,0.000812,0.000812
62,251.041,0.28183,0.20413,0.79737,0.9997,1,0.995,0.99034,0.20107,0.14907,0.74306,0.0007922,0.0007922,0.0007922
63,254.968,0.28034,0.20384,0.79227,0.99972,1,0.995,0.98493,0.21032,0.15638,0.74234,0.0007724,0.0007724,0.0007724
64,258.892,0.27348,0.19564,0.79488,0.99972,1,0.995,0.9901,0.19343,0.14925,0.73867,0.0007526,0.0007526,0.0007526
65,262.896,0.28106,0.20303,0.79261,0.99972,1,0.995,0.98161,0.24224,0.16138,0.74788,0.0007328,0.0007328,0.0007328
66,267.001,0.25939,0.19532,0.79557,0.99972,1,0.995,0.98585,0.21053,0.14978,0.7421,0.000713,0.000713,0.000713
67,270.946,0.25418,0.19095,0.79311,0.99973,1,0.995,0.98894,0.19496,0.14584,0.74012,0.0006932,0.0006932,0.0006932
68,274.915,0.26141,0.18957,0.79281,0.99973,1,0.995,0.99087,0.18934,0.14409,0.74159,0.0006734,0.0006734,0.0006734
69,278.851,0.26839,0.19472,0.79996,0.99973,1,0.995,0.98749,0.20703,0.14622,0.74185,0.0006536,0.0006536,0.0006536
70,282.769,0.25519,0.18944,0.78961,0.99973,1,0.995,0.98977,0.19071,0.1391,0.73993,0.0006338,0.0006338,0.0006338
71,286.65,0.24246,0.1851,0.79219,0.99973,1,0.995,0.9871,0.19756,0.14101,0.74022,0.000614,0.000614,0.000614
72,290.686,0.24824,0.18533,0.79557,0.99973,1,0.995,0.98795,0.18862,0.14105,0.73998,0.0005942,0.0005942,0.0005942
73,294.625,0.24218,0.18095,0.79035,0.99973,1,0.995,0.9912,0.18244,0.13537,0.73897,0.0005744,0.0005744,0.0005744
74,298.598,0.24211,0.18224,0.79521,0.99972,1,0.995,0.98997,0.17098,0.13058,0.73886,0.0005546,0.0005546,0.0005546
75,302.554,0.24735,0.1803,0.78643,0.99973,1,0.995,0.99087,0.18202,0.13764,0.73905,0.0005348,0.0005348,0.0005348
76,306.418,0.23214,0.17483,0.78986,0.99972,1,0.995,0.9818,0.21295,0.14116,0.7432,0.000515,0.000515,0.000515
77,310.479,0.23969,0.17634,0.78691,0.99972,1,0.995,0.98717,0.19425,0.13169,0.74035,0.0004952,0.0004952,0.0004952
78,314.451,0.23219,0.17445,0.79132,0.99972,1,0.995,0.98781,0.18779,0.131,0.73857,0.0004754,0.0004754,0.0004754
79,318.656,0.23722,0.17724,0.79659,0.9997,1,0.995,0.98971,0.1933,0.13699,0.73917,0.0004556,0.0004556,0.0004556
80,322.775,0.23111,0.17327,0.78532,0.99971,1,0.995,0.99023,0.1753,0.12669,0.7372,0.0004358,0.0004358,0.0004358
81,326.728,0.22478,0.16993,0.79084,0.99972,1,0.995,0.99175,0.16059,0.12209,0.73554,0.000416,0.000416,0.000416
82,330.73,0.22042,0.16654,0.78776,0.99972,1,0.995,0.99163,0.16657,0.1237,0.7368,0.0003962,0.0003962,0.0003962
83,334.741,0.2162,0.16311,0.78254,0.99972,1,0.995,0.99091,0.16942,0.12389,0.73706,0.0003764,0.0003764,0.0003764
84,338.758,0.21281,0.15982,0.79007,0.99973,1,0.995,0.99146,0.16988,0.12064,0.73828,0.0003566,0.0003566,0.0003566
85,342.708,0.21149,0.15789,0.78251,0.99972,1,0.995,0.98559,0.2087,0.13101,0.74232,0.0003368,0.0003368,0.0003368
86,346.707,0.21195,0.15808,0.79107,0.9997,1,0.995,0.99035,0.1651,0.11918,0.73775,0.000317,0.000317,0.000317
87,350.705,0.21856,0.16308,0.78537,0.99972,1,0.995,0.98998,0.1738,0.12546,0.73815,0.0002972,0.0002972,0.0002972
88,354.656,0.21381,0.1603,0.78615,0.99973,1,0.995,0.99232,0.16277,0.11798,0.73748,0.0002774,0.0002774,0.0002774
89,358.636,0.21218,0.15588,0.78703,0.99972,1,0.995,0.99131,0.16354,0.11728,0.73831,0.0002576,0.0002576,0.0002576
90,362.614,0.21,0.15511,0.79144,0.99971,1,0.995,0.99069,0.17128,0.11768,0.73818,0.0002378,0.0002378,0.0002378
91,383.45,0.1951,0.1424,0.77734,0.99971,1,0.995,0.98996,0.17026,0.11853,0.73734,0.000218,0.000218,0.000218
92,387.469,0.18209,0.13164,0.77357,0.99972,1,0.995,0.98784,0.19366,0.12638,0.74096,0.0001982,0.0001982,0.0001982
93,391.329,0.18071,0.13614,0.76574,0.99972,1,0.995,0.99185,0.15635,0.11434,0.73638,0.0001784,0.0001784,0.0001784
94,395.265,0.18107,0.13207,0.77521,0.99971,1,0.995,0.99136,0.16396,0.11763,0.73709,0.0001586,0.0001586,0.0001586
95,399.21,0.18151,0.13134,0.77711,0.99972,1,0.995,0.99047,0.16618,0.11325,0.73697,0.0001388,0.0001388,0.0001388
96,403.11,0.17819,0.13128,0.7726,0.99972,1,0.995,0.99187,0.16067,0.11091,0.7366,0.000119,0.000119,0.000119
97,407.038,0.17914,0.12858,0.77366,0.99972,1,0.995,0.99292,0.15527,0.10917,0.73608,9.92e-05,9.92e-05,9.92e-05
98,410.948,0.17566,0.12974,0.77238,0.99972,1,0.995,0.99179,0.15397,0.10796,0.73598,7.94e-05,7.94e-05,7.94e-05
99,414.834,0.17017,0.12251,0.76869,0.99972,1,0.995,0.99106,0.15868,0.10914,0.73639,5.96e-05,5.96e-05,5.96e-05
100,418.764,0.17223,0.12408,0.76976,0.99973,1,0.995,0.99161,0.15641,0.10686,0.73612,3.98e-05,3.98e-05,3.98e-05
